PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Heel_Broadband_ultrasound_attenuation_direct_entry,1,1,0.36,1,0.98,1,0.98,0.8,0.76,0.77,0.86,404,121,0.227757971456154,0.0304190613836636,0.03949594884488976,1,0.00226811373023893,11.1773535231038,0.0802921162828908,0.0210971973091132,0.02724434365419478,9.88595934657865e-4,3.296565582157569,0.29493256837081383
Heel_broadband_ultrasound_attenuation_left,0.99,0.99,0.46,0.93,0.05,0.93,0.05,0.2,0.1,0.04,0.03,90,9,0.284707804412476,0.0444625250332895,0.05844080322610674,0.9993464826379488,0.0049897372595731,4.733705061314645,0.0964634296561742,0.0247444029894277,0.03485712786024051,0.00190068744251069,0.3137141507421646,0.0662724328361598
Heel_broadband_ultrasound_attenuation_right,1,1,0.41,0.99,0.21,0.99,0.21,0.71,0.48,0.24,0.07,172,39,0.260411693866665,0.0391993585509427,0.0517386980792927,0.9999786199642612,0.00402194083422005,6.881246844545929,0.112857708959183,0.0287242194581791,0.03761986579556424,0.00199201559922534,1.4671747660270054,0.2132135060944496
Heel_quantitative_ultrasound_index_QUI_direct_entry,1,1,0.03,1,0.56,1,0.57,0.98,0.8,1,0.98,463,128,0.300250594004665,0.0300519126363394,0.0408050358637472,1,0.00254823123699418,13.669687014355311,0.115249410153651,0.02079003052001365,0.02645664031757934,9.66281704585544e-4,3.3864499606501557,0.24773427197666287
Heel_quantitative_ultrasound_index_QUI_direct_entry_left,1,1,1,1,0.06,1,0.06,0.34,0.33,0.06,0.17,214,72,0.340856203541436,0.0399673829695742,0.05222482535130544,0.99999999999951406,0.0041482653963802,7.415925199885374,0.0922901890165563,0.0271235819052406,0.03347426309710381,0.001335409172405,2.4101469429914744,0.3249961236163395
Heel_quantitative_ultrasound_index_QUI_direct_entry_right,1,1,0.02,0.87,0.87,0.87,0.87,0.77,0.87,0.43,0.66,126,15,0.307540140524349,0.043014324203392,0.05735648734828718,0.9999629128205458,0.00490275807242338,6.366570095659877,0.0607940743189322,0.0257052398001896,0.03204041052589983,0.00128030162298095,0.4806061578884975,0.07548902323656645
High_light_scatter_reticulocyte_count,1,1,0,0.96,0.44,0.96,0.44,0.09,0.15,0.22,0.18,412,60,0.188716202767644,0.02669555589836469,0.03671137213770055,0.9999996965651542,0.00208760462445247,12.922402992470593,0.0773419639069624,0.01820673820947805,0.02513349761419591,9.092220124549042e-4,1.5080098568517546,0.11669732461759752
High_light_scatter_reticulocyte_percentage,1,1,0.98,1,0.01,1,0.01,0.61,0.62,0.19,0.07,365,46,0.186498801138712,0.0280814030730393,0.03804440686676057,0.99995761721381,0.00225270340339636,12.13616579049662,0.074734758934694,0.0178478735044498,0.02761011475543693,0.00111286655420685,1.2700652787500988,0.10465127954536016
Hip_circumference,1,1,0.7,1,0.2,1,0.2,0.06,0.36,0.25,0.44,302,48,0.09962274322761,0.0194083746662145,0.02446235817816783,0.9928264092860444,8.001797177114324e-4,6.213438977254631,0.0577710661359611,0.017302110267688,0.02197011051059733,6.227716031704409e-4,1.0545653045086718,0.16972328985109383
IGF_1,1,1,0,1,0.57,1,0.57,0.64,0.33,0.72,0.32,571,125,0.272766336893564,0.02294214938882255,0.03223200650786317,0.9999999999999984,0.00167888248388643,14.375474902506973,0.0595423679238138,0.01656751102232,0.02055544623164364,5.214802451277074e-4,2.5694307789554554,0.17873710582649108
